date,time,group,subject,Age_Group,session,build,DOB_response,DOB_latency,Age_response,Age_latency,Sex_response,Sex_latency,Handedness_response,Handedness_latency,English_Langauge_response,English_Langauge_latency,Ethnicity_response,Ethnicity_latency,Raceoption_response,Raceoption1_latency,Education_Years_response,Education_Years_latency,Education_Attainment_response,Education_Attainment_latency,Technical_Difficultiesoption1_response,Technical_Difficultiesoption1_latency,Technical_Difficultiesoption2_response,Technical_Difficultiesoption2_latency,Technical_Difficultiesother_response,Technical_Difficultiesother_latency
2021-11-16,20:13:01,1,61362d6948d613a7ac12f5c5,Younger,1,6.5.1,4021997,35984,24,35984,Female,35984,Right hand,35984,Yes,35984,Not Hispanic or Latino,35928,Black or African American,35928,18 (six years of college),35928,Bachelors,35928,"No, I had no technical difficulties",35928,,35928,,35928
2021-11-16,20:47:00,1,6118bc3697553df24b86ad7d,Younger,1,6.5.1,9041998,29246,23,29246,Male,29246,Right hand,29246,Yes,29246,Unknown,32331,Some other race (please describe)Mixed Race,32331,14 (two years of college),32331,Diploma/GED,32331,"No, I had no technical difficulties",32331,,32331,,32331
2021-12-07,09:50:09,1,5f1201f1c1ac1410a8f39a21,Younger,1,6.5.1,5021997,12539,24,12539,Female,12539,Right hand,12539,Yes,12539,Not Hispanic or Latino,11588,South Asian,11588,17 (five years of college),11588,Masters,11588,"No, I had no technical difficulties",11588,,11588,,11588
2021-12-07,08:49:02,1,61107313f8a8c5d8adc23703,Younger,1,6.5.1,12112001,27403,19,27403,Female,27403,Left hand,27403,Yes,27403,Hispanic or Latino,35265,American Indian/Alaska Native,35265,13 (one year of college),35265,Diploma/GED,35265,"No, I had no technical difficulties",35265,,35265,,35265
2021-12-07,15:01:14,1,61607fcdcefefeb3b0803e42,Younger,1,6.5.1,6122002,146922,19,146922,Male,146922,Right hand,146922,Yes,146922,Not Hispanic or Latino,46821,White,46821,14 (two years of college),46821,Associates,46821,"No, I had no technical difficulties",46821,,46821,,46821
2021-12-07,07:11:44,1,5f117a19d614293b07fdb9cf,Younger,1,6.5.1,5192002,23354,19,23354,Female,23354,Right hand,23354,Yes,23354,Not Hispanic or Latino,33693,Some other race (please describe)Sout East Asian,33693,14 (two years of college),33693,Diploma/GED,33693,"No, I had no technical difficulties",33693,,33693,,33693
2021-12-07,10:11:50,1,5b0a38d230d5620001551e0d,Younger,1,6.5.1,3031993,30620,28,30620,Male,30620,Right hand,30620,Yes,30620,Not Hispanic or Latino,25459,White,25459,14 (two years of college),25459,Diploma/GED,25459,"No, I had no technical difficulties",25459,,25459,,25459
2021-12-07,10:14:01,1,61083edafaebb567540700e4,Younger,1,6.5.1,10031999,15775,22,15775,Female,15775,Right hand,15775,Yes,15775,Not Hispanic or Latino,18958,White,18958,16 (four years of college),18958,Bachelors,18958,"No, I had no technical difficulties",18958,,18958,,18958
2021-12-07,10:17:45,1,6172f24376e4b0e5e7e8dd70,Younger,1,6.5.1,12291996,20022,24,20022,Female,20022,Right hand,20022,No,20022,Hispanic or Latino,23444,Some other race (please describe)Hispanic,23444,16 (four years of college),23444,Bachelors,23444,"No, I had no technical difficulties",23444,,23444,,23444
2021-12-07,10:20:37,1,61086072d72c21294fe77825,Younger,1,6.5.1,9291997,32466,24,32466,Female,32466,Right hand,32466,Yes,32466,Not Hispanic or Latino,20798,White,20798,18 (six years of college),20798,Masters,20798,"No, I had no technical difficulties",20798,,20798,,20798
2021-12-07,07:27:38,1,5ee8c7fc15b7921df9c2d2a6,Younger,1,6.5.1,1102002,24571,19,24571,Male,24571,Right hand,24571,Yes,24571,Hispanic or Latino,17614,White,17614,13 (one year of college),17614,Diploma/GED,17614,"No, I had no technical difficulties",17614,,17614,,17614
2021-12-07,10:18:00,1,5dd5db1ded7ea4574c7bc996,Younger,1,6.5.1,8031994,22925,27,22925,Male,22925,Right hand,22925,Yes,22925,Not Hispanic or Latino,16436,Black or African American,16436,16 (four years of college),16436,Bachelors,16436,"No, I had no technical difficulties",16436,,16436,,16436
2021-12-07,07:18:09,1,61729e07e7b9b645c1741ca9,Younger,1,6.5.1,4192002,98399,19,98399,Female,98399,Right hand,98399,Yes,98399,Not Hispanic or Latino,29917,Black or African American,29917,12 (high school),29917,Diploma/GED,29917,"No, I had no technical difficulties",29917,,29917,,29917
2021-12-07,09:25:45,1,5f62bff03a4958215b85d8bf,Younger,1,6.5.1,8281998,39357,23,39357,Male,39357,Right hand,39357,Yes,39357,Not Hispanic or Latino,29768,Black or African American,29768,14 (two years of college),29768,Associates,29768,"No, I had no technical difficulties",29768,,29768,,29768
2021-12-07,10:31:23,1,59c2ea395364260001dc4d93,Younger,1,6.5.1,9221996,21959,25,21959,Male,21959,Right hand,21959,Yes,21959,Not Hispanic or Latino,26825,East Asian,26825,15 (three years of college),26825,Diploma/GED,26825,,26825,"Yes, I had technical difficulties",26825,Cannot write slash symbol on date of birth,26825
2021-12-07,09:32:25,1,60c7c096903b9b083aa00c4f,Younger,1,6.5.1,2152000,19990,21,19990,Gender Diverse,19990,Right hand,19990,Yes,19990,Not Hispanic or Latino,20531,White,20531,13 (one year of college),20531,Diploma/GED,20531,"No, I had no technical difficulties",20531,,20531,,20531
2021-12-07,09:23:37,1,61108077464f6e272d1c8797,Younger,1,6.5.1,7221997,18712,24,18712,Female,18712,Right hand,18712,Yes,18712,Not Hispanic or Latino,25204,White,25204,19 (seven years of college),25204,Doctorate/PhD,25204,"No, I had no technical difficulties",25204,,25204,,25204
2021-12-07,23:43:37,1,613fda883d650eff1765cd31,Younger,1,6.5.0,2041994,76745,27,76745,Male,76745,Right hand,76745,Yes,76745,Not Hispanic or Latino,18242,White,18242,19 (seven years of college),18242,Masters,18242,"No, I had no technical difficulties",18242,,18242,,18242
2021-12-07,07:37:15,1,614a3b656c2a291f343d7405,Younger,1,6.5.1,6261997,86425,24,86425,Male,86425,Right hand,86425,Yes,86425,Not Hispanic or Latino,59721,Black or African American,59721,12 (high school),59721,Diploma/GED,59721,"No, I had no technical difficulties",59721,,59721,,59721
2021-12-07,09:56:54,1,5f3ea301ce0b340fbb67f607,Younger,1,6.5.1,3052002,21468,19,21468,Female,21468,Left hand,21468,Yes,21468,Not Hispanic or Latino,21853,South Asian,21853,14 (two years of college),21853,Diploma/GED,21853,"No, I had no technical difficulties",21853,,21853,,21853
2021-12-07,10:40:26,1,5e49da75ea0f3c4553a9e3b2,Younger,1,6.5.1,7181998,19964,23,19964,Female,19964,Right hand,19964,Yes,19964,Hispanic or Latino,17943,Black or African AmericanWhite,17943,12 (high school),17943,Diploma/GED,17943,"No, I had no technical difficulties",17943,,17943,,17943
2021-12-07,08:47:14,1,5eeaff28cf5da71d691ef212,Younger,1,6.5.1,8231999,27693,22,27693,Male,27693,Left hand,27693,Yes,27693,Not Hispanic or Latino,20463,East Asian,20463,16 (four years of college),20463,Bachelors,20463,"No, I had no technical difficulties",20463,,20463,,20463
2021-12-07,12:02:48,1,61095a40919bbd3c8637052e,Younger,1,6.5.1,5141994,19307,27,19307,Female,19307,Right hand,19307,Yes,19307,Not Hispanic or Latino,15165,White,15165,16 (four years of college),15165,Bachelors,15165,"No, I had no technical difficulties",15165,,15165,,15165
2022-06-28,11:29:42,1,5f765a3c8a6ec010370c9cc1,Younger,1,6.5.2,10261999,19036,22,19036,Male,19036,Right hand,19036,Yes,19036,Not Hispanic or Latino,13051,White,13051,12 (high school),13051,Diploma/GED,13051,"No, I had no technical difficulties",13051,,13051,,13051
2022-06-28,10:36:47,1,5c2699d8867f660001ae2fd4,Younger,1,6.5.2,3261996,21449,26,21449,Male,21449,Right hand,21449,Yes,21449,Hispanic or Latino,15013,White,15013,15 (three years of college),15013,Diploma/GED,15013,"No, I had no technical difficulties",15013,,15013,,15013
2022-06-28,10:47:43,1,6101930ddd5330f83b898c61,Younger,1,6.6.0,7302001,21769,20,21769,Female,21769,Right hand,21769,Yes,21769,Not Hispanic or Latino,12274,White,12274,12 (high school),12274,Diploma/GED,12274,"No, I had no technical difficulties",12274,,12274,,12274
2022-06-28,10:44:28,1,5ebc6d34046b2a0bc9f2b3b8,Younger,1,6.5.2,6231997,29132,25,29132,Female,29132,Right hand,29132,Yes,29132,Not Hispanic or Latino,18125,White,18125,13 (one year of college),18125,Diploma/GED,18125,"No, I had no technical difficulties",18125,,18125,,18125
2022-06-28,11:54:00,1,629e3531a1dde5d808a5732b,Younger,1,6.5.2,7091998,16992,23,16992,Male,16992,Right hand,16992,Yes,16992,Not Hispanic or Latino,28284,White,28284,13 (one year of college),28284,Diploma/GED,28284,"No, I had no technical difficulties",28284,,28284,,28284
2022-06-28,08:50:19,1,62962c18b210880e85c1fc8e,Younger,1,6.5.2,7301993,18645,28,18645,Male,18645,Right hand,18645,Yes,18645,Not Hispanic or Latino,21154,White,21154,14 (two years of college),21154,Associates,21154,"No, I had no technical difficulties",21154,,21154,,21154
2022-06-28,11:02:14,1,61019fe1c6bc61fafe1c74fe,Younger,1,6.5.2,4172001,17892,21,17892,Female,17892,Right hand,17892,Yes,17892,Not Hispanic or Latino,15175,Black or African AmericanWhite,15175,12 (high school),15175,Diploma/GED,15175,"No, I had no technical difficulties",15175,,15175,,15175
2022-06-28,12:15:16,1,611131e47725f6a04c723651,Younger,1,6.6.0,5231995,22499,27,22499,Female,22499,Right hand,22499,Yes,22499,Hispanic or Latino,12199,White,12199,16 (four years of college),12199,Bachelors,12199,"No, I had no technical difficulties",12199,,12199,,12199
2022-06-28,12:15:33,1,6168cbfbad1cc13ba73ade6e,Younger,1,6.6.0,7191994,78338,27,78338,Male,78338,Right hand,78338,Yes,78338,Not Hispanic or Latino,38415,White,38415,16 (four years of college),38415,Bachelors,38415,"No, I had no technical difficulties",38415,,38415,,38415
2023-01-24,13:33:04,1,6361a26e73868c941f592107,Younger,1,6.5.2,7121994,24489,28,24489,Male,24489,Right hand,24489,Yes,24489,Not Hispanic or Latino,28756,White,28756,16 (four years of college),28756,Bachelors,28756,"No, I had no technical difficulties",28756,,28756,,28756
2023-02-02,11:06:09,1,60fd6697546be8a6eb141693,Younger,1,6.5.2,5131999,25966,23,25966,Male,25966,Right hand,25966,Yes,25966,Hispanic or Latino,33292,White,33292,17 (five years of college),33292,Associates,33292,,33292,"Yes, I had technical difficulties",33292,consent page did not load,33292
2021-11-18,10:13:26,2,60914b36d3a40e29d35a8d60,Younger,1,6.5.1,6251997,14500,24,14500,Female,14500,Left hand,14500,Yes,14500,Not Hispanic or Latino,15957,White,15957,16 (four years of college),15957,Bachelors,15957,"No, I had no technical difficulties",15957,,15957,,15957
2021-11-18,07:39:44,2,615e0f0c1ce04323aec71577,Younger,1,6.5.1,12051995,27477,25,27477,Male,27477,Right hand,27477,Yes,27477,Not Hispanic or Latino,21479,White,21479,16 (four years of college),21479,Bachelors,21479,"No, I had no technical difficulties",21479,,21479,,21479
2021-12-13,14:25:58,2,60fcaa7ac117649e189a3ee1,Younger,1,6.5.1,5062000,18326,21,18326,Female,18326,Right hand,18326,Yes,18326,Not Hispanic or Latino,17055,White,17055,16 (four years of college),17055,Bachelors,17055,"No, I had no technical difficulties",17055,,17055,,17055
2021-12-13,15:16:08,2,60fdc5e1be4b5d5d5a5a9613,Younger,1,6.5.1,12221999,26701,21,26701,Female,26701,Right hand,26701,Yes,26701,Hispanic or Latino,29744,White,29744,16 (four years of college),29744,Diploma/GED,29744,"No, I had no technical difficulties",29744,,29744,,29744
2021-12-13,15:21:46,2,61016268f9a351d3171a0fde,Younger,1,6.5.1,11162002,31899,19,31899,Female,31899,Right hand,31899,Yes,31899,Not Hispanic or Latino,24158,Black or African American,24158,12 (high school),24158,Diploma/GED,24158,"No, I had no technical difficulties",24158,,24158,,24158
2021-12-13,12:22:44,2,555906c9fdf99b06175ee24c,Younger,1,6.5.1,7071997,27752,24,27752,Female,27752,Right hand,27752,Yes,27752,Hispanic or Latino,19442,American Indian/Alaska NativeWhite,19442,14 (two years of college),19442,Associates,19442,"No, I had no technical difficulties",19442,,19442,,19442
2021-12-13,12:31:30,2,5ef8e0fc2ce3c6644665e347,Younger,1,6.5.1,3261996,36168,25,36168,Male,36168,Right hand,36168,Yes,36168,Hispanic or Latino,18805,White,18805,13 (one year of college),18805,Diploma/GED,18805,"No, I had no technical difficulties",18805,,18805,,18805
2021-12-13,15:26:00,2,6108755566ea91cc4bf94c0a,Younger,1,6.5.1,4032003,30091,18,30091,Female,30091,Right hand,30091,Yes,30091,Not Hispanic or Latino,17230,Black or African American,17230,12 (high school),17230,Diploma/GED,17230,"No, I had no technical difficulties",17230,,17230,,17230
2021-12-13,14:39:43,2,602af54feff74b1eeac797e8,Younger,1,6.5.1,5172001,22658,20,22658,Male,22658,Right hand,22658,No,22658,Not Hispanic or Latino,16823,White,16823,15 (three years of college),16823,Diploma/GED,16823,"No, I had no technical difficulties",16823,,16823,,16823
2021-12-13,14:32:11,2,611e0d3c67d86e1ff9f58428,Younger,1,6.5.1,3191999,58127,22,58127,Male,58127,Right hand,58127,Yes,58127,Not Hispanic or Latino,22788,American Indian/Alaska NativeBlack or African AmericanWhite,22788,13 (one year of college),22788,Associates,22788,"No, I had no technical difficulties",22788,,22788,,22788
2021-12-13,14:42:46,2,60a40bd48fd5b3f64c19c91a,Younger,1,6.5.1,9161999,22638,22,22638,Male,22638,Right hand,22638,Yes,22638,Not Hispanic or Latino,16138,White,16138,16 (four years of college),16138,Associates,16138,"No, I had no technical difficulties",16138,,16138,,16138
2021-12-13,15:46:46,2,5cf08a81f7ab870015139666,Younger,1,6.5.1,7032000,15684,21,15684,Male,15684,Right hand,15684,Yes,15684,Not Hispanic or Latino,19213,White,19213,15 (three years of college),19213,Diploma/GED,19213,"No, I had no technical difficulties",19213,,19213,,19213
2021-12-13,15:48:17,2,5eb883cc52bcce7d6fadf5a0,Younger,1,6.5.1,11271999,17627,21,17627,Male,17627,Right hand,17627,Yes,17627,Not Hispanic or Latino,13592,American Indian/Alaska NativeSouth Asian,13592,14 (two years of college),13592,Associates,13592,"No, I had no technical difficulties",13592,,13592,,13592
2021-12-13,15:52:07,2,617612aa86abe09e0c69b7f2,Younger,1,6.5.1,5011996,41019,25,41019,Male,41019,Right hand,41019,Yes,41019,Not Hispanic or Latino,87365,White,87365,12 (high school),87365,Diploma/GED,87365,,87365,"Yes, I had technical difficulties",87365,some of the headlines I saw in the first and second part I did not see in the first set of headlines. Also in that first set I saw almost every headline more than once.,87365
2021-12-13,15:51:33,2,5b21259ce5cd900001125a0b,Younger,1,6.5.1,4121994,19663,27,19663,Male,19663,Right hand,19663,Yes,19663,Not Hispanic or Latino,21981,White,21981,17 (five years of college),21981,Masters,21981,"No, I had no technical difficulties",21981,,21981,,21981
2021-12-13,15:10:08,2,6145a88c94a2c86532d36b0f,Younger,1,6.5.1,5191998,21455,23,21455,Male,21455,Right hand,21455,Yes,21455,Hispanic or Latino,46042,American Indian/Alaska NativeSome other race (please describe),46042,12 (high school),46042,Diploma/GED,46042,"No, I had no technical difficulties",46042,,46042,,46042
2021-12-13,17:48:55,2,5685850c333cbd000d4e042f,Younger,1,6.5.0,5111994,26125,27,26125,Male,26125,Right hand,26125,Yes,26125,Not Hispanic or Latino,17608,White,17608,12 (high school),17608,Diploma/GED,17608,"No, I had no technical difficulties",17608,,17608,,17608
2022-06-28,15:06:20,2,5e83abb4e0a2e40fd565226d,Younger,1,6.5.2,6071998,19102,24,19102,Female,19102,Right hand,19102,Yes,19102,Not Hispanic or Latino,14485,Black or African American,14485,12 (high school),14485,Diploma/GED,14485,"No, I had no technical difficulties",14485,,14485,,14485
2022-06-28,15:03:56,2,614f571879ee135c5a579e08,Younger,1,6.5.2,11191994,40112,27,40112,Male,40112,Right hand,40112,Yes,40112,Not Hispanic or Latino,36296,Black or African American,36296,14 (two years of college),36296,Diploma/GED,36296,"No, I had no technical difficulties",36296,,36296,,36296
2022-06-28,14:13:30,2,60ea823910936e7bff37d86b,Younger,1,6.6.0,12121998,24004,23,24004,Male,24004,Right hand,24004,Yes,24004,Not Hispanic or Latino,12409,White,12409,16 (four years of college),12409,Bachelors,12409,"No, I had no technical difficulties",12409,,12409,,12409
2022-06-28,12:10:14,2,5ddb4658f3b7c2a9e4aa5086,Younger,1,6.5.2,6121996,18464,26,18464,Male,18464,Right hand,18464,Yes,18464,Hispanic or Latino,15469,,15469,14 (two years of college),15469,Associates,15469,"No, I had no technical difficulties",15469,,15469,,15469
2022-06-28,14:08:42,2,611c0228cb6bd61a906c8845,Younger,1,6.5.1,3302000,13532,22,13532,Gender Diverse,13532,Right hand,13532,Yes,13532,Hispanic or Latino,16610,White,16610,12 (high school),16610,Diploma/GED,16610,"No, I had no technical difficulties",16610,,16610,,16610
2022-06-28,14:34:12,2,5da812b2e627d7001017ae7d,Younger,1,6.5.2,8301998,11978,23,11978,Male,11978,Right hand,11978,Yes,11978,Not Hispanic or Latino,25488,East AsianWhite,25488,13 (one year of college),25488,Diploma/GED,25488,"No, I had no technical difficulties",25488,,25488,,25488
2022-06-28,15:47:06,2,5d8b32e664ac880018630273,Younger,1,6.5.2,10131993,19237,28,19237,Male,19237,Right hand,19237,Yes,19237,Not Hispanic or Latino,22997,White,22997,16 (four years of college),22997,Bachelors,22997,"No, I had no technical difficulties",22997,,22997,,22997
2022-06-28,15:58:59,2,5f3c23cbcee6b3a3c4faff76,Younger,1,6.5.2,9211998,28959,23,28959,Female,28959,Left hand,28959,Yes,28959,Not Hispanic or Latino,18844,White,18844,12 (high school),18844,Diploma/GED,18844,"No, I had no technical difficulties",18844,,18844,,18844
2022-06-28,12:59:04,2,61115686fa7f267dae6767fc,Younger,1,6.5.2,10031998,26135,23,26135,Female,26135,Right hand,26135,Yes,26135,Hispanic or Latino,23175,East Asian,23175,18 (six years of college),23175,Masters,23175,"No, I had no technical difficulties",23175,,23175,,23175
2022-06-28,16:00:56,2,6236fe0ee063333a3e1ba72a,Younger,1,6.5.2,4191999,15745,23,15745,Female,15745,Right hand,15745,Yes,15745,Not Hispanic or Latino,27773,Black or African American,27773,15 (three years of college),27773,Diploma/GED,27773,"No, I had no technical difficulties",27773,,27773,,27773
2022-06-28,16:01:14,2,53987712fdf99b68e3a45021,Younger,1,6.6.0,12011993,16107,28,16107,Female,16107,Right hand,16107,Yes,16107,Unknown,9650,East Asian,9650,17 (five years of college),9650,Bachelors,9650,"No, I had no technical difficulties",9650,,9650,,9650
2022-06-28,14:55:33,2,62a8043b4d175a07e5250a72,Younger,1,6.5.2,11122001,32025,20,32025,Male,32025,Right hand,32025,Yes,32025,Hispanic or Latino,24219,White,24219,15 (three years of college),24219,Diploma/GED,24219,"No, I had no technical difficulties",24219,,24219,,24219
2022-06-28,15:02:32,2,61115b08ef95f323c6b9ba99,Younger,1,6.5.2,1091997,34984,25,34984,Female,34984,Right hand,34984,Yes,34984,Not Hispanic or Latino,21360,Black or African AmericanWhite,21360,16 (four years of college),21360,Bachelors,21360,"No, I had no technical difficulties",21360,,21360,,21360
2022-06-28,15:27:50,2,5d332957d0635b00013bd785,Younger,2,6.5.2,1051995,17711,27,17711,Male,17711,Right hand,17711,Yes,17711,Not Hispanic or Latino,38495,White,38495,14 (two years of college),38495,Associates,38495,,38495,"Yes, I had technical difficulties",38495,The app crashed and I had to redo the study.,38495
